Artist,Year,Month,Where
Jeff Mangum,2012,January,"Brooklyn, NY"
The Music Tapes,2012,January,"Brooklyn, NY"
The Black Keys,2012,March,"Philadelphia, PA"
The Arctic Monkeys,2012,March,"Philadelphia, PA"
Why?,2012,February,"Manhattan, NY"
Danielson,2012,February,"Manhattan, NY"
Touche Amore,2012,April,"Syracuse, NY"
Defeater,2012,April,"Syracuse, NY"
Code Orange Kids,2012,April,"Syracuse, NY"
Birds In Row,2012,April,"Syracuse, NY"
Demetri Martin,2012,February,"Ithaca, NY"
Pink Floyd Experience,2012,February,"Ithaca, NY"
The Avett Brothers,2012,April,"Ithaca, NY"
The Wailers,2012,May,"Ithaca, NY"
Bomb The Music Industry!,2012,May,"Asbury Park, NJ"
Good Luck,2012,May,"Asbury Park, NJ"
Spoon Boy,2012,May,"Asbury Park, NJ"
Tiny Teeth,2012,May,"Asbury Park, NJ"
Radiohead,2012,June,"Manchester, TN"
Red Hot Chili Peppers,2012,June,"Manchester, TN"
Phish,2012,June,"Manchester, TN"
Bon Iver,2012,June,"Manchester, TN"
The Beach Boys,2012,June,"Manchester, TN"
The Avett Brothers,2012,June,"Manchester, TN"
The Shins,2012,June,"Manchester, TN"
Dispatch,2012,June,"Manchester, TN"
Rodrigo y Gabriela with CUBA,2012,June,"Manchester, TN"
Feist,2012,June,"Manchester, TN"
The Roots,2012,June,"Manchester, TN"
Ben Folds Five,2012,June,"Manchester, TN"
Mac Miller,2012,June,"Manchester, TN"
Childish Gambino,2012,June,"Manchester, TN"
Sharon Jones and the Dap Kings,2012,June,"Manchester, TN"
TuneYards,2012,June,"Manchester, TN"
Blind Pilot,2012,June,"Manchester, TN"
Punch Brothers,2012,June,"Manchester, TN"
Battles,2012,June,"Manchester, TN"
The Black Lips,2012,June,"Manchester, TN"
Kendrick Lamar,2012,June,"Manchester, TN"
The Kooks,2012,June,"Manchester, TN"
The Antlers,2012,June,"Manchester, TN"
Alabama Shakes,2012,June,"Manchester, TN"
Dale Earnhardt Jr. Jr.,2012,June,"Manchester, TN"
Dale Earnhardt Jr. Jr.,2012,June,"Manchester, TN"
Moon Taxi,2012,June,"Manchester, TN"
The Blind Woods,2012,June,"Manchester, TN"
Real Estate,2012,June,"Ridgewood, NJ"
The Felice Brothers,2012,June,"Dover, DE"
Modest Mouse,2012,June,"Montclair, NJ"
Modest Mouse,2012,June,"Dover, DE"
Policia,2012,June,"Dover, DE"
Charles Bradley And His Extraordinaires,2012,June,"Dover, DE"
Grouplove,2012,June,"Dover, DE"
Cake,2012,June,"Dover, DE"
The Killers,2012,June,"Dover, DE"
Wilco,2012,July,"Brooklyn, NY"
Lee Ranaldo Band,2012,July,"Brooklyn, NY"
Head And The Heart,2012,July,"Brooklyn, NY"
Lost In The Trees,2012,July,"Brooklyn, NY"
Bloc Party,2012,August,"Manhattan, NY"
The Drums,2012,August,"Manhattan, NY"
Joyce Manor,2012,August,"Philadelphia, PA"
Algernon Cadwallader,2012,August,"Philadelphia, PA"
Tiger's Jaw,2012,August,"Philadelphia, PA"
Kite Party,2012,August,"Philadelphia, PA"
We Were Promised Jetpacks,2012,September,"Manhattan, NY"
The Lonely Forest,2012,September,"Manhattan, NY"
Why?,2012,September,"Brooklyn, NY"
DoseOne,2012,September,"Brooklyn, NY"
Serengeti,2012,September,"Brooklyn, NY"
DJ Thanksgiving Brown,2012,September,"Brooklyn, NY"
K'naan,2012,September,"Manhattan, NY"
Band of Horses,2012,September,"Manhattan, NY"
The Black Keys,2012,September,"Manhattan, NY"
Foo Fighters,2012,September,"Manhattan, NY"
John Legend,2012,September,"Manhattan, NY"
Neil Young & Crazy Horse,2012,September,"Manhattan, NY"
Tiger's Jaw,2012,October,"Hoboken, NJ"
The World Is a Beautiful Place & I Am No Longer Afraid to Die,2012,October,"Hoboken, NJ"
Kitty Pryde,2012,October,"Hoboken, NJ"
LVL UP,2012,October,"Hoboken, NJ"
Conor Oberst,2012,November,"Manhattan, NY"
Dinosaur Jr.,2012,December,"Manhattan, NY"
Kurt Vile & The Violators,2012,December,"Manhattan, NY"
Lee Ranaldo & The Dust,2012,December,"Manhattan, NY"
Converge,2013,January,"Philadelphia, PA"
Pig Destroyer,2013,January,"Philadelphia, PA"
Municipal Waste,2013,January,"Philadelphia, PA"
Repulsion,2013,January,"Philadelphia, PA"
Tombs,2013,January,"Philadelphia, PA"
Evoken,2013,January,"Philadelphia, PA"
Why?,2013,February,"Brooklyn, NY"
Astronautalis,2013,February,"Brooklyn, NY"
Dream Tiger,2013,February,"Brooklyn, NY"
Desaparecidos,2013,February,"Asbury Park, NJ"
Joyce Manor,2013,February,"Asbury Park, NJ"
Bad Books,2013,February,"Philadelphia, PA"
The Front Bottoms,2013,February,"Philadelphia, PA"
Weatherbox,2013,February,"Philadelphia, PA"
LVL UP,2013,February,"Brooklyn, NY"
Nicki Bluhm & The Gramblers,2013,June,"Manchester, TN"
The Stepkids,2013,June,"Manchester, TN"
twenty one pilots,2013,June,"Manchester, TN"
Purity Ring,2013,June,"Manchester, TN"
Father John Misty,2013,June,"Manchester, TN"
Alt-J,2013,June,"Manchester, TN"
Local Natives,2013,June,"Manchester, TN"
Of Monsters And Men,2013,June,"Manchester, TN"
Glen Hansard,2013,June,"Manchester, TN"
Foals,2013,June,"Manchester, TN"
Grizzly Bear,2013,June,"Manchester, TN"
Wilco,2013,June,"Manchester, TN"
Wu-Tang Clan,2013,June,"Manchester, TN"
Jim James,2013,June,"Manchester, TN"
Paul McCartney,2013,June,"Manchester, TN"
The XX,2013,June,"Manchester, TN"
Death Grips,2013,June,"Manchester, TN"
Gov't Mule,2013,June,"Manchester, TN"
Portugal. The Man,2013,June,"Manchester, TN"
Dirty Projectors,2013,June,"Manchester, TN"
Beach House,2013,June,"Manchester, TN"
Jack Johnson,2013,June,"Manchester, TN"
Preservation Hall Jazz Band,2013,June,"Manchester, TN"
R. Kelly,2013,June,"Manchester, TN"
JEFF The Brotherhood,2013,June,"Manchester, TN"
Baroness,2013,June,"Manchester, TN"
Kendrick Lamar,2013,June,"Manchester, TN"
Swans,2013,June,"Manchester, TN"
The National,2013,June,"Manchester, TN"
David Byrne & St. Vincent,2013,June,"Manchester, TN"
Real Estate,2013,June,"Hoboken, NJ"
The Glen Mercer Band,2013,June,"Hoboken, NJ"
GRMLN,2013,June,"San Francisco, CA"
Blue Man Group,2013,June,"Los Angeles, CA"
Portugal. The Man,2013,June,"Los Angeles, CA"
Avi Buffalo,2013,June,"Los Angeles, CA"
Titus Andronicus,2013,July,"Hoboken, NJ"
Screaming Females,2013,July,"Hoboken, NJ"
Coma Cinema,2013,July,"Brooklyn, NY"
Julia Brown,2013,July,"Brooklyn, NY"
LVL UP,2013,July,"Brooklyn, NY"
Alex G,2013,July,"Brooklyn, NY"
Caged Animals,2013,July,"Brooklyn, NY"
Potty Mouth,2013,July,"Brooklyn, NY"
Shark?,2013,July,"Brooklyn, NY"
Toons,2013,July,"Brooklyn, NY"
Jeff Rosenstock,2013,July,"Asbury Park, NJ"
Lisabi,2013,July,"Asbury Park, NJ"
Have A Nice Season,2013,July,"Asbury Park, NJ"
Liam Betson,2013,July,"Brooklyn, NY"
Baked,2013,July,"Brooklyn, NY"
Bueno,2013,July,"Brooklyn, NY"
Weed Hounds,2013,July,"Brooklyn, NY"
Hippy,2013,July,"Brooklyn, NY"
Real Estate,2013,July,"Hoboken, NJ"
Cassie Ramone,2013,July,"Hoboken, NJ"
Tube Tops,2013,August,"Brooklyn, NY"
Double King,2013,August,"Brooklyn, NY"
New Myths,2013,August,"Brooklyn, NY"
Painted Zeros,2013,August,"Brooklyn, NY"
Ovlov,2013,August,"Brooklyn, NY"
Mr. Dream,2013,August,"Brooklyn, NY"
Kal Marks,2013,August,"Brooklyn, NY"
Chandeliers,2013,August,"Brooklyn, NY"
LVL UP,2013,August,"New Brunswick, NJ"
Long Beard,2013,August,"New Brunswick, NJ"
Alex G,2013,August,"New Brunswick, NJ"
Riot of Spring,2013,August,"Brooklyn, NY"
Bad Credit No Credit,2013,August,"Brooklyn, NY"
Dog,2013,August,"Brooklyn, NY"
100% Black,2013,August,"Brooklyn, NY"
Joyce Manor,2013,August,"Philadelphia, PA"
Glocca Morra,2013,August,"Philadelphia, PA"
Holy Death,2013,August,"Philadelphia, PA"
Radiator Hospital,2013,August,"Philadelphia, PA"
SIRS,2013,August,"New Brunswick, NJ"
SPOOK HOUSES,2013,August,"New Brunswick, NJ"
Batty,2013,August,"New Brunswick, NJ"
Screaming Females,2013,September,"Ithaca, NY"
Speedy Ortiz,2013,September,"Ithaca, NY"
Brick Mower,2013,September,"Ithaca, NY"
Bill Callahan,2013,October,"Ithaca, NY"
Real Estate,2013,June,"Ridgewood, NJ"
Built To Spill,2013,November,"Ithaca, NY"
The Warm Hair,2013,November,"Ithaca, NY"
Slam Dunk,2013,November,"Ithaca, NY"
The Flaming Lips,2013,November,"Ithaca, NY"
The World Is a Beautiful Place & I Am No Longer Afraid to Die,2013,December,"Ithaca, NY"
Summer People,2013,December,"Ithaca, NY"
I Kill Giants,2013,December,"Ithaca, NY"
lovechild,2013,December,"Ithaca, NY"
Krill,2014,January,"New Brunswick, NJ"
Frankie Cosmos,2014,January,"New Brunswick, NJ"
"Whatever, Dad",2014,January,"New Brunswick, NJ"
Long Beard,2014,January,"New Brunswick, NJ"
Neutral Milk Hotel,2014,January,"Jersey City, NJ"
Elf Power,2014,January,"Jersey City, NJ"
Man Man,2014,January,"Ithaca, NY"
Xenia Rubinos,2014,January,"Ithaca, NY"
Perfect Pussy,2014,March,"Ithaca, NY"
Summer People,2014,March,"Ithaca, NY"
Cat Names,2014,March,"Ithaca, NY"
Eugene Mirman,2014,February,"Ithaca, NY"
Porches,2014,March,"Brooklyn, NY"
Little Big League,2014,March,"Brooklyn, NY"
Downies,2014,March,"Brooklyn, NY"
Steve Hartlett,2014,March,"Brooklyn, NY"
Porches,2014,March,"Ithaca, NY"
Summer People,2014,March,"Ithaca, NY"
Frankie Cosmos,2014,March,"Ithaca, NY"
Easy Star All Stars,2014,March,"Ithaca, NY"
Thunderbody,2014,March,"Ithaca, NY"
Time/Being,2014,April,"Ithaca, NY"
The Atomic Forces,2014,April,"Ithaca, NY"
Zula,2014,April,"Ithaca, NY"
Mount Eerie,2014,April,"Ithaca, NY"
100% Black,2014,April,"Ithaca, NY"
The Atomic Forces,2014,April,"Ithaca, NY"
Rubblebucket,2014,May,"Ithaca, NY"
Modest Mouse,2014,May,"Boston, MA"
Brand New,2014,May,"Boston, MA"
Built To Spill,2014,May,"Boston, MA"
Death Cab for Cutie,2014,May,"Boston, MA"
Phosphorescent,2014,May,"Boston, MA"
Kurt Vile,2014,May,"Boston, MA"
The Neighborhood,2014,May,"Boston, MA"
The Districts,2014,May,"Boston, MA"
The Decemberists,2014,May,"Boston, MA"
Tegan & Sara,2014,May,"Boston, MA"
Bastille,2014,May,"Boston, MA"
The RealBads,2014,June,"Ithaca, NY"
Underground River,2014,June,"Ithaca, NY"
What Moon Things,2014,June,"Ithaca, NY"
Bleach Bath,2014,June,"Ithaca, NY"
Mac DeMarco,2014,July,"Buffalo, NY"
Delicate Steve,2014,July,"Buffalo, NY"
Leisonread,2014,July,"Buffalo, NY"
VVR,2014,June,"Ithaca, NY"
Arcade Fire,2014,August,"Montreal, QC"
Dan Deacon,2014,August,"Montreal, QC"
Spoon,2014,August,"Montreal, QC"
St. Vincent,2014,August,"Brooklyn, NY"
San Fermin,2014,August,"Brooklyn, NY"
Modest Mouse,2014,August,"Sayreville, NJ"
Mimicking Birds,2014,August,"Sayreville, NJ"
Part Time,2014,September,"Ithaca, NY"
Downies,2014,September,"Ithaca, NY"
Underground River,2014,September,"Ithaca, NY"
Ava Luna,2014,September,"Ithaca, NY"
Celestial Shore,2014,September,"Ithaca, NY"
Junior Bob,2014,September,"Ithaca, NY"
Red Sled Choir,2014,September,"Ithaca, NY"
Real Estate,2014,September,"Ithaca, NY"
Regal Degal,2014,September,"Ithaca, NY"
Porches,2014,October,"Brooklyn, NY"
Frankie Cosmos,2014,October,"Brooklyn, NY"
Regal Degal,2014,October,"Brooklyn, NY"
Rivergazer,2014,October,"Brooklyn, NY"
The RealBads,2014,October,"Ithaca, NY"
Bass Drum Of Death,2014,October,"Ithaca, NY"
The People's Temple,2014,October,"Ithaca, NY"
Afrika Bambaataa,2014,October,"Ithaca, NY"
Lust,2014,October,"Ithaca, NY"
Krill,2014,October,"Ithaca, NY"
Dope Body,2014,October,"Ithaca, NY"
Diarrhea Planet,2014,October,"Ithaca, NY"
Lust,2014,October,"Ithaca, NY"
Rubbed Ugly,2014,October,"Ithaca, NY"
The Sweet Freaks,2014,October,"Ithaca, NY"
Pinkwash,2014,October,"Ithaca, NY"
Weirding Module,2014,October,"Ithaca, NY"
Modern Hut,2014,October,"Ithaca, NY"
Smooth Antics,2014,November,"Ithaca, NY"
Pale Blue Dot,2014,November,"Ithaca, NY"
Misses Bitches,2014,November,"Ithaca, NY"
Imperials,2014,November,"Ithaca, NY"
PUPPPY,2014,November,"Ithaca, NY"
Red Sled Choir,2014,November,"Ithaca, NY"
Perfect Pussy,2014,December,"Ithaca, NY"
Math The Band,2014,December,"Ithaca, NY"
Jeff Rosenstock,2014,December,"Ithaca, NY"
Zula,2014,December,"Ithaca, NY"
The RealBads,2014,December,"Ithaca, NY"
"Be Still, Cody",2014,December,"Ithaca, NY"
Heavy Sigh,2014,December,"Ithaca, NY"
ROMP,2014,December,"Ithaca, NY"
California X,2015,January,"Brooklyn, NY"
Big Ups,2015,January,"Brooklyn, NY"
Ovlov,2015,January,"Brooklyn, NY"
LVL UP,2015,January,"Brooklyn, NY"
Priests,2015,February,"Ithaca, NY"
Tenement,2015,February,"Ithaca, NY"
Vacation,2015,February,"Ithaca, NY"
Green Dreams,2015,February,"Ithaca, NY"
Jeff Rosenstock,2015,February,"Brooklyn, NY"
Diet Cig,2015,March,"Ithaca, NY"
Earl Boykins,2015,March,"Ithaca, NY"
Alex G,2015,March,"Ithaca, NY"
Lust,2015,March,"Ithaca, NY"
Lucia Roberts,2015,March,"Ithaca, NY"
Krill,2015,March,"Brooklyn, NY"
Frankie Cosmos,2015,March,"Brooklyn, NY"
LVL UP,2015,March,"Brooklyn, NY"
Cloud Becomes Your Hand,2015,March,"Brooklyn, NY"
Crying,2015,March,"Brooklyn, NY"
Eskimeaux,2015,March,"Brooklyn, NY"
Modest Mouse,2015,April,"Ithaca, NY"
Turn To Crime,2015,April,"Ithaca, NY"
Mystic Braves,2015,May,"San Diego, CA"
Muscle Beech,2015,May,"San Diego, CA"
The Creation Factory,2015,May,"San Diego, CA"
Rubbed Ugly,2015,June,"Ithaca, NY"
Greyon Greene,2015,June,"Ithaca, NY"
Lung Cycles,2015,June,"Ithaca, NY"
Ylayali,2015,June,"Ithaca, NY"
The War On Drugs,2015,June,"Rochester, NY"
The Everymen,2015,June,"Rochester, NY"
Imperials,2015,July,"Ithaca, NY"
Eyukaliptus,2015,July,"Ithaca, NY"
Greyon Greene,2015,July,"Ithaca, NY"
K-Twan,2015,July,"Ithaca, NY"
Death Grips,2015,July,"Ithaca, NY"
Pile,2015,July,"Philadelphia, PA"
Sheer Mag,2015,July,"Philadelphia, PA"
Alex G,2015,July,"Philadelphia, PA"
Girlpool,2015,July,"Philadelphia, PA"
Quarterbacks,2015,July,"Philadelphia, PA"
Krill,2015,August,"Brooklyn, NY"
Big Ups,2015,August,"Brooklyn, NY"
LVL UP,2015,August,"Brooklyn, NY"
Stove,2015,August,"Brooklyn, NY"
Palm,2015,August,"Brooklyn, NY"
Danny Brown,2015,August,"Brooklyn, NY"
Death Grips,2015,August,"Brooklyn, NY"
